0.00400400	0.00000000	0.00107881	  18.80400085   -7.24393797 -466.16607666    7.22230387    5.03399038    4.64010620	 -22.84031296  -11.83255100 -539.47058105    1.92944419  -15.20095825   -0.20096144	  33.41218520    2.79068010 -488.25389908    7.52275264   -8.05185360    4.91983385	 -11.34896257   -0.21681163 -563.47678559    2.88702852  -33.29956875   -0.50369000	27.18511238	0	0.00000000	0.00000000	0.00000000	-0.00476245  0.00020252 -0.00144156	 0.00272284 -0.00166006 -0.00214895	  8.83572735  -0.15339805 -20.55969000 -42.03293204   3.78680038   6.55316487  -6.04756456  -4.14174719  -8.31850529 -60.50733209 -12.36291122   0.19634950	-0.00441786  0.00003068 -0.23486008  0.61136025 -0.36118338 -0.00204786  0.00302378  0.00082835 -0.23792037  0.61635333 -0.35613659 -0.00006136	
0.00400000	0.00342185	0.00107940	  20.83810234   -6.13267136 -468.04946899    7.26267052    4.96744728    4.70318508	 -21.37766075   -9.59325314 -537.82629395    1.97194040  -15.24681568   -0.20337674	  33.54834101    2.32695113 -489.56190011    7.54943911   -8.09474029    4.96311622	 -11.05489378   -0.41030975 -561.73516982    2.88503169  -33.25467629   -0.47916589	27.23389124	0	0.00000000	0.00000000	0.00000000	-0.00476430  0.00022319 -0.00148360	 0.00050238 -0.00087537 -0.00317105	  8.84847059  -0.12481725 -20.56955448 -41.96597556   3.74578389   6.52008395  -6.00318135  -4.11354386  -8.40516812 -60.42710743 -12.35842801   0.22202707	-0.00441786  0.00003068 -0.23486008  0.61136025 -0.36118338 -0.00204786  0.00302378  0.00082835 -0.23792037  0.61635333 -0.35613659 -0.00006136	
0.00400000	0.00684436	0.00175468	  20.07525063   -3.50539255 -466.97863770    7.33351946    5.01239395    4.60376406	 -22.63945961  -12.10595703 -539.43994141    1.91649985  -15.22891331   -0.21881647	  33.50688717    3.33457319 -489.20741935    7.49675918   -8.07910744    4.89844637	 -11.28110987   -0.32142367 -562.43376086    2.89263058  -33.28521141   -0.49257716	41.00648029	0	0.00000000	0.00000000	0.00000000	-0.00477542  0.00026623 -0.00150792	 0.00029681  0.00177709 -0.00008264	  8.89270919  -0.02841993 -20.60436719 -41.72804993   3.60454666   6.40436630  -5.84942967  -4.01930602  -8.70660387 -60.15486060 -12.34573014   0.31104570	-0.00441786  0.00003068 -0.23486008  0.61136025 -0.36118338 -0.00204786  0.00302378  0.00082835 -0.23792037  0.61635333 -0.35613659 -0.00006136	
0.00398000	0.01100626	0.00176922	  20.81584740   -5.40347528 -467.27639771    7.27484465    4.99325037    4.68655729	 -22.60368729  -11.70543289 -538.47375488    1.92665398  -15.19061375   -0.20722097	  33.92148621    3.22559367 -487.74589410    7.48875820   -8.04666729    4.91589830	 -11.51303656   -0.58656288 -562.44822101    2.90392060  -33.28941144   -0.49305269	41.10248512	0	0.00000000	0.00000000	0.00000000	-0.00477599  0.00020247 -0.00146585	-0.00082130  0.00088621 -0.00123681	  9.09945445   0.37850483 -21.60518615 -41.93249526   3.11224443   6.18643970  -5.53998833  -3.78889824 -10.19092259 -60.84616133 -12.73906553   0.64556834	-0.00441786  0.00003068 -0.23486008  0.61136025 -0.36118338 -0.00204786  0.00302378  0.00082835 -0.23792037  0.61635333 -0.35613659 -0.00006136	
0.00400000	0.01519545	0.00242164	  20.55748749   -6.64476633 -466.65060425    7.25223780    5.03712845    4.71336317	 -22.05578232  -11.61484051 -539.60498047    1.95233452  -15.21701336   -0.19173267	  33.86617653    2.88690513 -487.86322165    7.47810537   -8.03108318    4.93068416	 -11.32501917   -0.48186960 -562.24552070    2.89893868  -33.30272020   -0.48776492	51.04232297	0	0.00000000	0.00000000	0.00000000	-0.00480277  0.00015039 -0.00137177	 0.00187215  0.00207480 -0.00241573	  9.30024444   0.76461561 -22.40769718 -41.79062729   2.59649124   5.89899063  -5.14535242  -3.55983472 -11.63095196 -61.15584105 -13.04768950   0.98539273	-0.00441786  0.00003068 -0.23486008  0.61136025 -0.36118338 -0.00204786  0.00302378  0.00082835 -0.23792037  0.61635333 -0.35613659 -0.00006136	
0.00399600	0.02010753	0.00244567	  20.77798462   -5.97862816 -465.17810059    7.34250307    4.92230225    4.70613050	 -22.54376411  -11.52165413 -539.26055908    1.91067266  -15.23785305   -0.20170408	  34.02570523    2.88345363 -488.57510532    7.52326487   -8.05685337    4.93806548	 -11.64831463   -0.19859808 -561.95677196    2.89039235  -33.31723322   -0.49466814	51.11067302	0	0.00000000	0.00000000	0.00000000	-0.00480664  0.00012601 -0.00134776	-0.00001471 -0.00042186 -0.00425682	  9.79138117   1.73010276 -25.46328481 -42.87323862   1.33987867   5.46874577  -4.50047484  -3.22181692 -15.59601524 -64.38543060 -14.41912439   1.75894134	-0.00441786  0.00003068 -0.23486008  0.61136025 -0.36118338 -0.00204786  0.00302378  0.00082835 -0.23792037  0.61635333 -0.35613659 -0.00006136	
0.00399200	0.02504409	0.00304904	  21.35024261   -5.82633114 -466.88592529    7.27915096    4.90157223    4.71660900	 -21.77052116  -11.84536552 -539.10998535    1.93772709  -15.29961109   -0.21873054	  34.14049454    3.14033352 -489.13617622    7.50410238   -8.10916548    4.93151179	 -11.23889826   -0.31365644 -562.34406774    2.90204226  -33.33062025   -0.51046960	62.47000863	0	0.00000000	0.00000000	0.00000000	-0.00484562  0.00011097 -0.00132072	-0.00145307 -0.00414064  0.00154962	 10.17057158   2.43590338 -27.47808514 -42.99540284   0.34074065   4.99820600  -3.84012732  -2.98543559 -18.60852572 -66.14557553 -15.33981054   2.38077574	-0.00441786  0.00003068 -0.23487543  0.61136025 -0.36118338 -0.00204786  0.00302378  0.00082835 -0.23794338  0.61635333 -0.35613659 -0.00006136	
0.00400400	0.03065792	0.00308338	  22.71639633   -7.23352575 -465.93850708    7.21736717    4.88383341    4.67221975	 -21.87870598  -12.09878731 -540.57684326    1.95547640  -15.40859413   -0.18295611	  34.65200802    2.09978030 -488.47611135    7.53673752   -8.09070991    4.95464765	 -10.70394597   -0.40061038 -562.92353388    2.92304686  -33.40598638   -0.48889963	62.37692897	0	0.00000000	0.00000000	0.00000000	-0.00500578  0.00012807 -0.00118640	 0.00078842  0.00354450 -0.00165873	 10.85337636   3.93674879 -32.84425617 -44.81047154  -1.81557244   4.16779799  -2.76668014  -2.81910729 -25.44048149 -72.93140306 -18.18889833   3.37689757	-0.00441019  0.00004602 -0.23492911  0.61136025 -0.36119103 -0.00204786  0.00303164  0.00082835 -0.23802008  0.61633801 -0.35615191 -0.00006136	
0.00398000	0.03629658	0.00362353	  22.43321800   -6.50169277 -466.69415283    7.25938129    4.59962368    4.75492048	 -19.40564537  -11.47297382 -539.04541016    1.92752337  -15.72411823   -0.23392558	  35.13810589    2.51560400 -488.98452142    7.52930080   -8.24988883    4.97898420	  -8.57696366    0.22643805 -562.41438269    2.86986461  -33.46846708   -0.53835794	76.90782046	0	0.00000000	0.00000000	0.00000000	-0.00534294  0.00008818 -0.00103774	-0.00216708  0.00024075 -0.00312290	 11.41936761   4.90019120 -36.14337850 -44.97513671  -3.24584681   3.49044114  -1.83945438  -2.80084703 -30.12530892 -76.64849834 -19.92899195   4.17513572	-0.00441019  0.00009971 -0.23502114  0.61136025 -0.36121404 -0.00205553  0.00303164  0.00082835 -0.23815814  0.61632270 -0.35618261 -0.00004602	
0.00400000	0.04254668	0.00368861	  23.82134628   -6.62200403 -467.05905151    7.18591213    4.29855442    4.77691793	 -15.91869164   -8.88067722 -540.75860596    2.00223231  -16.29390335   -0.30936036	  37.01746092    3.73071667 -487.47521262    7.43609198   -8.32279971    4.95768439	  -6.21001472    1.38316765 -563.15319027    2.83934664  -33.74166966   -0.59651399	76.75166311	0	0.00000000	0.00000000	0.00000000	-0.00610582 -0.00006110 -0.00048813	 0.00282707  0.00579184 -0.00099538	 12.11130797   6.73219490 -43.09238804 -46.63233913  -5.73269845   2.39989987  -0.55570288  -3.03064394 -39.12847318 -87.16996933 -24.44859771   5.34698995	-0.00441019  0.00019175 -0.23520522  0.61136025 -0.36126006 -0.00208621  0.00303949  0.00083602 -0.23841125  0.61626899 -0.35624397 -0.00001534	
