0.00400000	0.00000000	0.00035246	  61.00086212   -6.84726763 -466.16616821   14.16807365   45.50817490    2.57380915	 -42.19348145  -28.06795120 -527.08758545    6.59287405  -18.26040459    3.97296596	  55.32211998    6.10945643 -490.37765635   14.80033398   35.14526057    3.61455766	 -61.67537153   -8.52491144 -546.82024841    8.42783858  -37.32045883    3.13472307	  7.93068483   7.93834624  -8.62535000 -18.08149099  38.88420868  14.82441276  10.06144099  -8.82038439 -14.97598648 -62.83444047 -17.17353058   6.77406117   5.99261723  23.73834839  -0.81791419   0.79955578   0.92052221  -0.26006699  -1.54529381  -3.54275703   0.08403967  -1.29787922  -0.47438359   0.03496631  -0.65237880  -0.50876856  -0.89679956  -1.77340508   1.29557419   3.38287354   0.11658206   1.03923082   0.01265566	-0.00396534 -0.00158767 -0.23784366  0.60488689 -0.37215132 -0.00463263 -0.00503072  0.00176408 -0.23625600  0.61698228 -0.35463327 -0.00211689 -0.00099877 -0.00237383  0.00008179  0.29800111  0.29907948  1.50065017 -1.26613677 -0.99114311 -0.00021010 -0.98702121  0.00474384 -0.00034966  0.00652379 -0.29872808 -0.29910320 -1.49556649  1.26676106  0.99154282 -0.00029146  0.98960769 -0.00012656	0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000	0.00456155	-0.00343737	0.00485400	25.28023417	0	0.00000000	0.00000000	0.00000000	0
0.00398400	0.00260568	0.00034815	  61.03104782   -6.76147366 -468.61206055   14.13916397   45.46879196    2.56251168	 -38.39439774  -27.08957291 -526.04498291    6.61841726  -18.34440613    3.96215320	  55.62913345    6.41866736 -491.02970708   14.79456073   35.11780303    3.60010492	 -61.34756624   -8.38330667 -547.58069820    8.43303279  -37.33845009    3.11677779	  7.90189606   8.02332606  -8.57788962 -18.02080685  38.70694053  14.80848858  10.04979475  -8.76130406 -14.87969992 -62.71871751 -17.13731338   6.75527548   5.97133836  23.65405714  -0.81500990   0.79671668   0.91725358  -0.25914353  -1.53980671  -3.53017725   0.08374126  -1.29327065  -0.47269913   0.03484215  -0.65006230  -0.50696200  -0.89361517  -1.76710798   1.29097380   3.37086147   0.11616810   1.03554067   0.01261072	-0.00396534 -0.00158767 -0.23784366  0.60488689 -0.37215132 -0.00463263 -0.00503072  0.00176408 -0.23625600  0.61698228 -0.35463327 -0.00211689 -0.00099877 -0.00237383  0.00008179  0.29800111  0.29907948  1.50065017 -1.26613677 -0.99114311 -0.00021010 -0.98702121  0.00474384 -0.00034966  0.00652379 -0.29872808 -0.29910320 -1.49556649  1.26676106  0.99154282 -0.00029146  0.98960769 -0.00012656	0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000	0.00456339	-0.00343683	0.00485403	25.29253058	0	0.00000000	0.00000000	0.00000000	7
0.00398400	0.00520657	0.00054389	  60.75812149   -7.31201172 -465.18603516   14.08719921   45.49372864    2.53889585	 -37.81286621  -26.65420723 -525.00598145    6.59686995  -18.34415817    3.96511364	  55.61122036    6.46520554 -490.79757575   14.78931173   35.14133077    3.58954261	 -60.95103080   -8.74292091 -546.73417089    8.41681135  -37.28312948    3.13121532	  7.80133317   8.31483746  -8.40994699 -17.80738534  38.08947892  14.75051505  10.01009149  -8.55455002 -14.54352157 -62.31962643 -17.00969716   6.69031861   5.89702147  23.35966821  -0.80486661   0.78680106   0.90583781  -0.25591833  -1.52064289  -3.48624207   0.08269905  -1.27717512  -0.46681610   0.03440852  -0.64197188  -0.50065255  -0.88249359  -1.74511527   1.27490686   3.32890908   0.11472232   1.02265275   0.01245377	-0.00396534 -0.00158767 -0.23784366  0.60488689 -0.37215132 -0.00463263 -0.00503072  0.00176408 -0.23625600  0.61698228 -0.35463327 -0.00211689 -0.00099877 -0.00237383  0.00008179  0.29800111  0.29907948  1.50065017 -1.26613677 -0.99114311 -0.00021010 -0.98702121  0.00474384 -0.00034966  0.00652379 -0.29872808 -0.29910320 -1.49556649  1.26676106  0.99154282 -0.00029146  0.98960769 -0.00012656	0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000	0.00456665	-0.00347177	0.00486807	32.59240426	0	0.00000000	0.00000000	0.00000000	15
0.00401600	0.00804280	0.00053468	  60.88084412   -7.11872101 -467.81500244   14.13863182   45.50841522    2.55638146	 -38.22115707  -27.29821014 -525.40405273    6.58505249  -18.34333992    3.94468164	  56.03465635    6.04811299 -489.40132911   14.79424946   35.22553686    3.59853938	 -61.52130841   -9.23415021 -547.25832126    8.45997938  -37.31411005    3.16970139	  7.60989907   9.37370440  -8.07418289 -17.19656488  37.06512944  14.77754006   9.96158101  -8.08487339 -13.84020090 -61.74635497 -16.68790512   6.61554687   5.77414824  22.87293472  -0.78809602   0.77040689   0.88696333  -0.25058589  -1.48895803  -3.41360102   0.08097589  -1.25056327  -0.45708929   0.03369156  -0.62859544  -0.49022071  -0.86410552  -1.70875319   1.24834227   3.25954629   0.11233191   1.00134425   0.01219428	-0.00396534 -0.00158767 -0.23784366  0.60488689 -0.37215132 -0.00463263 -0.00503072  0.00176408 -0.23625600  0.61698228 -0.35463327 -0.00211689 -0.00099877 -0.00237383  0.00008179  0.29800111  0.29907948  1.50065017 -1.26613677 -0.99114311 -0.00021010 -0.98702121  0.00474384 -0.00034966  0.00652379 -0.29872808 -0.29910320 -1.49556649  1.26676106  0.99154282 -0.00029146  0.98960769 -0.00012656	0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000	0.00464951	-0.00341031	0.00470614	32.60864820	0	0.00000000	0.00000000	0.00000000	23
0.00398400	0.01085100	0.00070393	  61.20049667   -7.01631975 -469.37283325   14.07183933   45.55036545    2.55640340	 -38.33496857  -26.81695366 -524.62371826    6.59153509  -18.34406662    3.94445872	  55.98630195    6.16440392 -490.86702179   14.78676919   35.17981793    3.61046555	 -60.39671446   -8.29875220 -546.39974034    8.43026236  -37.24292766    3.11514697	  7.35689992  10.43415303  -7.63849005 -16.50717559  35.68305041  14.72248641   9.88847468  -7.51524191 -12.96543585 -60.94527867 -16.30552345   6.50082099   5.60650740  22.20886484  -0.76521523   0.74803967   0.86121212  -0.24331063  -1.44572911  -3.31449395   0.07862491  -1.21425567  -0.44381862   0.03271340  -0.61034543  -0.47598813  -0.83901795  -1.65914296   1.21209916   3.16491189   0.10907057   0.97227223   0.01184024	-0.00396534 -0.00158767 -0.23784366  0.60488689 -0.37215132 -0.00463263 -0.00503072  0.00176408 -0.23625600  0.61698228 -0.35463327 -0.00211689 -0.00099877 -0.00237383  0.00008179  0.29800111  0.29907948  1.50065017 -1.26613677 -0.99114311 -0.00021010 -0.98702121  0.00474384 -0.00034966  0.00652379 -0.29872808 -0.29910320 -1.49556649  1.26676106  0.99154282 -0.00029146  0.98960769 -0.00012656	0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000	0.00465469	-0.00339900	0.00462312	41.37912867	0	0.00000000	0.00000000	0.00000000	31
0.00398400	0.01384731	0.00068954	  62.02584457   -6.88799906 -463.52911377   14.10874844   45.40764618    2.56695175	 -39.96748734  -27.10025406 -526.44146729    6.59748697  -18.36862946    3.99519372	  56.04384578    5.76469198 -490.44270098   14.80392208   35.16306544    3.62569946	 -61.14042872   -8.26949836 -546.84560008    8.47310467  -37.29008981    3.11010154	  6.95467671  13.10123294  -7.00810260 -15.11271145  33.86568699  14.85401758   9.83525134  -6.36924888 -11.57722211 -60.31004975 -15.63302115   6.34076046   5.40007798  21.39114307  -0.73704030   0.72049714   0.82950263  -0.23435203  -1.39249793  -3.19245557   0.07572998  -1.16954725  -0.42747739   0.03150890  -0.58787275  -0.45846244  -0.80812563  -1.59805396   1.16747014   3.04838107   0.10505464   0.93647354   0.01140429	-0.00396534 -0.00158000 -0.23784366  0.60488689 -0.37215132 -0.00463263 -0.00503072  0.00176408 -0.23624833  0.61698228 -0.35463327 -0.00211689 -0.00099877 -0.00237383  0.00008179  0.29800111  0.29907948  1.50065017 -1.26613677 -0.99114311 -0.00021010 -0.98702121  0.00474384 -0.00034966  0.00652379 -0.29872808 -0.29910320 -1.49556649  1.26676106  0.99154282 -0.00029146  0.98960769 -0.00012656	0.00000000 0.00000057 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000038 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000	0.00461917	-0.00343213	0.00457417	41.37184401	0	0.00000000	0.00000000	0.00000000	39
0.00401600	0.01684541	0.00078691	  59.46984482   -7.38187075 -466.80261230   14.13203335   45.45058823    2.55230236	 -38.78691101  -25.12099075 -525.38085938    6.60786343  -18.31838417    3.94495058	  55.63927758    6.06837885 -490.71368835   14.80998823   35.10534733    3.61188926	 -62.86059818   -9.25420341 -547.16447495    8.53641061  -37.31613227    3.14619949	  6.54009430  15.07218764  -6.30187938 -13.87397728  31.86510549  14.80342334   9.75242642  -5.35277397 -10.18566577 -59.40181819 -14.97297791   6.19095634   5.15830463  20.43341464  -0.70404139   0.68823890   0.79236397  -0.22385957  -1.33015274  -3.04952233   0.07233938  -1.11718405  -0.40833829   0.03009818  -0.56155240  -0.43793607  -0.77194407  -1.52650558   1.11519993   2.91189835   0.10035111   0.89454557   0.01089370	-0.00396534 -0.00154932 -0.23784366  0.60488689 -0.37215897 -0.00463263 -0.00503072  0.00176408 -0.23623300  0.61698228 -0.35463327 -0.00211689 -0.00099877 -0.00237383  0.00008179  0.29800111  0.29907948  1.50065017 -1.26613677 -0.99114311 -0.00021010 -0.98702121  0.00474384 -0.00034966  0.00652379 -0.29872808 -0.29910320 -1.49556649  1.26676106  0.99154282 -0.00029146  0.98960769 -0.00012656	 0.00000000  0.00049327  0.00000000  0.00000000 -0.00000284  0.00000000  0.00000000  0.00000000  0.00016942  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000	0.00463183	-0.00338689	0.00447314	54.73885920	0	0.00000000	0.00000000	0.00000000	47
0.00400000	0.01994283	0.00076844	  60.80001068   -6.38674307 -465.50820923   14.18695164   45.31008148    2.65968680	 -41.08934021  -28.65940285 -524.82012939    6.62308693  -18.17216110    3.98408961	  55.26400146    6.37931145 -490.01591611   14.81311773   35.01197482    3.65958128	 -62.43819184   -9.24400076 -546.13283317    8.49766908  -37.26011103    3.16854253	  5.81866929  19.34279923  -5.32262447 -11.89842633  29.31914741  14.78824635   9.68868491  -3.29905123  -8.21797814 -59.28358631 -13.93074802   5.96965936   4.88630953  19.35596979  -0.66691760   0.65194837   0.75058297  -0.21205556  -1.26001438  -2.88872237   0.06852496  -1.05827543  -0.38680679   0.02851112  -0.53194199  -0.41484389  -0.73123981  -1.44601362   1.05639594   2.75835525   0.09505964   0.84737658   0.01031928	-0.00396534 -0.00148029 -0.23784366  0.60490221 -0.37219733 -0.00463263 -0.00503072  0.00179476 -0.23619464  0.61698228 -0.35463327 -0.00211689 -0.00099877 -0.00237383  0.00008179  0.29800111  0.29907948  1.50065017 -1.26613677 -0.99114311 -0.00021010 -0.98702121  0.00474384 -0.00034966  0.00652379 -0.29872808 -0.29910320 -1.49556649  1.26676106  0.99153513 -0.00029146  0.98960769 -0.00012656	 0.00000000  0.00204201  0.00000000  0.00017734 -0.00059614  0.00000000  0.00000000  0.00032281  0.00101491  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000 -0.00000040  0.00000000  0.00000000  0.00000000	0.00467297	-0.00339177	0.00435839	54.73977170	0	0.00000000	0.00000000	0.00000000	55
0.00398400	0.02301084	0.00085034	  60.86879349   -3.88695931 -464.30960083   14.26544285   45.07421112    2.69609404	 -39.62063980  -23.29888153 -523.21911621    6.64596081  -18.16781235    3.97686291	  55.11050268    6.78708666 -488.98695320   14.82197307   34.88582513    3.72562580	 -62.52611775   -7.41663935 -544.93824699    8.42773823  -37.17447095    3.14881081	  5.21809070  22.04364092  -4.32799070 -10.16210969  26.79734265  14.63853964   9.61122403  -1.81929990  -6.40630899 -58.67306304 -12.96194443   5.82099080   4.58763896  18.17285632  -0.62615296   0.61209870   0.70470437  -0.19909388  -1.18299731  -2.71215223   0.06433644  -0.99358945  -0.36316363   0.02676840  -0.49942759  -0.38948699  -0.68654354  -1.35762754   0.99182484   2.59833476   0.08924922   0.79558157   0.00968852	-0.00396534 -0.00134990 -0.23783599  0.60493290 -0.37225869 -0.00463263 -0.00503072  0.00184078 -0.23614095  0.61698228 -0.35462561 -0.00211689 -0.00099877 -0.00237383  0.00008179  0.29800111  0.29907948  1.50065017 -1.26613677 -0.99114311 -0.00021010 -0.98702121  0.00474384 -0.00034966  0.00652379 -0.29872808 -0.29910320 -1.49556649  1.26676106  0.99152744 -0.00029146  0.98960769 -0.00012656	 0.00000000  0.00465052  0.00000161  0.00078926 -0.00195715  0.00000000  0.00000000  0.00132870  0.00224539  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000 -0.00012296  0.00000000  0.00000000  0.00000000	0.00474029	-0.00350100	0.00422900	74.02683825	0	0.00000000	0.00000000	0.00000000	63
0.00398400	0.02616987	0.00082897	  60.71487808   -4.25889063 -463.93930054   14.32761002   44.74415588    2.82913232	 -39.45093155  -24.89477730 -520.10809326    6.62521648  -18.01601028    4.08475161	  54.96523675    8.45805300 -487.86341576   14.79348739   34.64651254    3.75054440	 -61.62678179   -6.86325588 -542.88596380    8.33588143  -36.97832234    3.18258576	  4.07892499  27.70489668  -3.01822689  -7.64692758  23.60512280  14.31701074   9.43033138   1.24916869  -4.09053897 -59.63289276 -11.75547816   5.39463118   4.26802000  16.90676076  -0.58252913   0.56945403   0.65560790  -0.18522309  -1.10057837  -2.52421524   0.05985415  -0.92436648  -0.33786217   0.02490346  -0.46463267  -0.36235159  -0.63871232  -1.26304218   0.92272480   2.42849005   0.08303126   0.74015372   0.00901353	-0.00397301 -0.00115048 -0.23780531  0.60498655 -0.37235838 -0.00463263 -0.00503072  0.00192514 -0.23604891  0.61698228 -0.35461026 -0.00211689 -0.00099877 -0.00237383  0.00008179  0.29800111  0.29907948  1.50065017 -1.26613677 -0.99113542 -0.00021010 -0.98702121  0.00474384 -0.00034966  0.00653146 -0.29872808 -0.29910320 -1.49556649  1.26676106  0.99150443 -0.00029146  0.98960769 -0.00012656	 0.00000000  0.00887719  0.00049226  0.00188892 -0.00411651  0.00000000  0.00000000  0.00307590  0.00404806  0.00000000  0.00019881  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000000  0.00000170  0.00000000  0.00000000  0.00000000  0.00000000  0.00000038  0.00000000  0.00000000  0.00000000  0.00000000 -0.00051417  0.00000000  0.00000000  0.00000000	0.00496898	-0.00389031	0.00407447	73.69891901	0	0.00000000	0.00000000	0.00000000	71
