0.00400000	0.00000000	0.00097595	  21.31993103   -9.26005745 -455.09075928    1.77715337   10.03912830    1.85957384	 -17.96625900   -8.70580006 -540.24127197    1.12626350  -10.96319866    1.75683117	  30.34365110   -3.11767052 -477.81922255    2.36140009   -2.58979847    2.16254695	 -10.95599117   -1.37487521 -563.40818446    1.66812769  -28.79181637    1.64359619	25.14321674	0	-0.00000000	-0.00000000	-0.00000000	-0.00137223  0.00450546 -0.00114584	-0.00192794  0.00172352  0.00182662	  3.32873757  -2.87621340 -15.00668287 -41.94780469   8.49919128   1.93895139   3.37721151  -3.83495120 -11.53989792 -55.28567314  -9.17229843  -0.02454369	-0.00166437  0.00057524 -0.23624833  0.61133724 -0.36265600 -0.00060592 -0.00168861  0.00076699 -0.23711503  0.61494207 -0.35713366  0.00000767	
0.00400000	0.00330753	0.00097754	  21.34428787   -8.89478588 -456.73678589    1.72521532   10.06227684    1.87096286	 -17.63029289   -9.19356632 -540.76776123    1.10109043  -10.97919178    1.77873087	  31.08378466   -2.66834667 -477.42487345    2.29168757   -2.54929907    2.15421522	 -10.88112668   -1.92716944 -563.91821651    1.70190216  -28.81071469    1.67320297	25.16140594	0	-0.00000000	-0.00000000	-0.00000000	-0.00134975  0.00454175 -0.00118859	-0.00403841 -0.00005137  0.00141340	  3.35700486  -2.84981192 -15.02116046 -41.87489158   8.44317836   1.91847196   3.39026309  -3.81517191 -11.59797053 -55.19940939  -9.17719633  -0.00619491	-0.00166437  0.00057524 -0.23624833  0.61133724 -0.36265600 -0.00060592 -0.00168861  0.00076699 -0.23711503  0.61494207 -0.35713366  0.00000767	
0.00400000	0.00661683	0.00158448	  22.86593246   -7.41856384 -458.05673218    1.78443611   10.06236458    1.87419093	 -19.20117569  -13.35939407 -541.70715332    0.91130853  -10.94931602    1.79787099	  31.19087994   -2.57091297 -478.19386612    2.29767358   -2.53917170    2.15523977	 -11.09530569   -1.86371170 -564.25277824    1.67738140  -28.82456669    1.66871378	36.93311061	0	-0.00000000	-0.00000000	-0.00000000	-0.00135816  0.00459066 -0.00117031	-0.00403841 -0.00005137  0.00141340	  3.45572273  -2.76072613 -15.07184706 -41.61504488   8.24948472   1.84589795   3.43550299  -3.74984042 -11.80078427 -54.90547484  -9.19669774   0.05707036	-0.00166437  0.00057524 -0.23624833  0.61133724 -0.36265600 -0.00060592 -0.00168861  0.00076699 -0.23711503  0.61494207 -0.35713366  0.00000767	
0.00396800	0.01058291	0.00160088	  18.68616104  -10.77367020 -454.16772461    1.71849620   10.04858017    1.79958665	 -16.59512138   -9.10028553 -540.22161865    1.11309087  -11.00751686    1.75573778	  29.85896969   -3.51405514 -476.82262854    2.36733717   -2.59054731    2.15597330	 -10.45106092   -1.46941796 -563.76145324    1.67385299  -28.76397611    1.65497365	36.92734814	0	-0.00000000	-0.00000000	-0.00000000	-0.00134894  0.00458204 -0.00113719	-0.00012998  0.00205784 -0.00346523	  3.71067272  -2.46203759 -15.96925826 -41.71297551   7.66883382   1.65670781   3.55349872  -3.67617275 -12.95918517 -55.43131340  -9.61997824   0.27945241	-0.00166437  0.00057524 -0.23624833  0.61133724 -0.36265600 -0.00060592 -0.00168861  0.00076699 -0.23711503  0.61494207 -0.35713366  0.00000767	
0.00400000	0.01458500	0.00219819	  17.45626640  -11.79364395 -455.88497925    1.77936351   10.11446381    1.81311524	 -16.69128227   -9.34849548 -541.99957275    1.11919773  -10.96810818    1.74045944	  29.78603466   -3.63794960 -476.41503592    2.35170717   -2.58627814    2.16039756	 -10.80754948   -1.60606342 -564.04761378    1.68940294  -28.78391449    1.65762063	52.36151937	0	-0.00000000	-0.00000000	-0.00000000	-0.00133410  0.00458298 -0.00113102	 0.00106147 -0.00302366  0.00073592	  3.99409908  -2.16581508 -16.71207336 -41.46717775   7.04105988   1.43514347   3.68357338  -3.59723902 -14.04249481 -55.59440320  -9.98838805   0.50450399	-0.00166437  0.00057524 -0.23624833  0.61133724 -0.36265600 -0.00060592 -0.00168861  0.00076699 -0.23711503  0.61494207 -0.35713366  0.00000767	
0.00400000	0.01925096	0.00222465	  17.40961838  -12.10822868 -453.64639282    1.63073719    9.96190739    1.80109119	 -13.94898415   -4.56697083 -538.36853027    1.08826149  -11.14376640    1.75945687	  29.48999619   -4.34362707 -477.19281225    2.37720215   -2.65961725    2.16894076	 -10.00807364   -1.00262391 -563.49623366    1.65263662  -28.75942139    1.64268109	52.36827733	0	-0.00000000	-0.00000000	-0.00000000	-0.00141258  0.00449713 -0.00118074	 0.00106147 -0.00302366  0.00073592	  4.47840865  -1.55641753 -19.37663038 -42.20329094   5.73427629   0.99618794   4.03618067  -3.60382406 -17.24827998 -58.30301935 -11.50024937   0.94645160	-0.00165670  0.00057524 -0.23624833  0.61133724 -0.36265600 -0.00060592 -0.00168861  0.00076699 -0.23711503  0.61494207 -0.35713366  0.00000767	
0.00400000	0.02394632	0.00280545	  21.19610405   -8.90433311 -453.65664673    1.80235207    9.89403915    1.88739288	 -18.20469284   -8.27732849 -543.79705811    1.08323073  -10.97459126    1.76829636	  30.31958765   -3.40476042 -476.18478750    2.36081095   -2.61670951    2.17446096	 -11.19287988   -0.80530180 -563.66259871    1.73380122  -28.84095837    1.64243424	66.32913226	0	-0.00000000	-0.00000000	-0.00000000	-0.00141828  0.00452584 -0.00118651	-0.00233200 -0.00102016  0.00032128	  4.94292376  -1.07999452 -21.17056891 -42.06896853   4.62474235   0.59297653   4.31508858  -3.65466402 -19.58188734 -59.71538858 -12.54286245   1.32290788	-0.00165670  0.00057524 -0.23625600  0.61133724 -0.36266366 -0.00060592 -0.00168861  0.00076699 -0.23714571  0.61494207 -0.35713366  0.00000767	
0.00400000	0.02928720	0.00287049	  17.85300064   -9.82174301 -455.71688843    1.73348117    9.80523109    1.93295956	 -15.34531212   -9.28193092 -538.67388916    1.07446909  -11.31558037    1.76205266	  29.87415079   -3.64697348 -476.99852625    2.36277401   -2.78138399    2.19622121	  -9.67460388   -1.27474922 -563.48115850    1.69101967  -28.88875133    1.64617535	66.33428164	0	-0.00000000	-0.00000000	-0.00000000	-0.00153067  0.00454611 -0.00112508	-0.00005243  0.00342245  0.00321785	  5.52440928  -0.20868211 -25.73563114 -43.24338323   2.31998457  -0.15827876   4.87406418  -4.25668364 -24.98349741 -65.52253666 -15.58594594   1.86191846	-0.00165670  0.00057524 -0.23629434  0.61133724 -0.36268666 -0.00060592 -0.00168075  0.00076699 -0.23720707  0.61492676 -0.35715666  0.00000767	
0.00396800	0.03468257	0.00349879	  19.95739937  -12.08948326 -455.45739746    1.62302196    9.39310551    1.89837527	 -13.12312031   -9.12276077 -540.98541260    1.12264764  -11.69965458    1.72795939	  30.27831492   -4.40839844 -477.02580373    2.36256690   -2.99341460    2.23704624	  -7.80228668   -1.44966478 -563.21510355    1.66315663  -29.01286975    1.63046341	82.69318724	0	-0.00000000	-0.00000000	-0.00000000	-0.00185078  0.00451044 -0.00094339	-0.00005243  0.00342245  0.00321785	  6.17004892   0.40210685 -28.67527434 -42.89119274   0.65226322  -0.74038762   5.37861191  -4.90679300 -28.57041262 -68.64189089 -17.43929983   2.29095103	-0.00164903  0.00059058 -0.23637106  0.61133724 -0.36273268 -0.00062126 -0.00168075  0.00076699 -0.23731445  0.61491144 -0.35720268  0.00000767	
0.00400000	0.04079403	0.00359435	  24.19495583   -8.70951176 -452.61907959    1.73897469    8.73152161    1.99328792	 -10.74738121   -7.50375319 -543.42675781    1.15662980  -12.41218662    1.65919709	  32.52744613   -3.31083896 -475.27016221    2.30274756   -3.26179558    2.25013282	  -5.68791411   -0.71400535 -564.05890558    1.68182049  -29.39194131    1.56623002	82.62838291	0	-0.00000000	-0.00000000	-0.00000000	-0.00235874  0.00450436 -0.00083299	-0.00168255  0.00180910  0.00018210	  6.83277719   1.43257090 -34.74141829 -43.56636471  -2.34574364  -1.59117754   6.27069744  -6.62235809 -35.77689631 -77.85535675 -22.14859116   2.66486942	-0.00164903  0.00061359 -0.23651677  0.61133724 -0.36280173 -0.00064427 -0.00168075  0.00076699 -0.23752920  0.61485773 -0.35727939  0.00000767	
